﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
3227;78263;1999;0.38989193;0.3777366;0.60794701;0.45852518;Gambais;2067
3316;78474;1999;0.50192286;0.21609398;0.50598781;0.40800155;Orvilliers;483
3518;91458;1999;0.57320727;0.46595493;0.63051778;0.55655999;Nozay;4277
3534;91519;1999;;0.32467532;0.57336344;;Richarville;399
3677;94022;1999;0.51554871;0.24576073;0.42055197;0.3939538;Choisy-le-Roi;34324
3770;95205;1999;0.64942783;0.33737748;0.53377409;0.5068598;Écouen;7117
44;77025;2013;0.54002196;0.23742962;0.4787469;0.41873283;Bazoches-lès-Bray;841
118;77102;2013;0.52748466;0.44426833;0.54000304;0.50391868;Châtenoy;166
153;77138;2013;0.60316218;0.47440616;0.59317111;0.55691315;Courtomer;522
213;77201;2013;1.0;0.37306012;0.53059346;0.63455119;Gastins;710
501;77500;2013;0.45723218;0.39518328;0.49882246;0.45041264;Villebéon;473
697;78415;2013;0.76143014;0.71530499;0.75123679;0.74265731;Montainville;529
843;91156;2013;0.51194997;0.56580792;0.637799;0.5718523;Cheptainville;1905
883;91294;2013;0.42160497;0.46101613;0.58178537;0.48813549;Guillerval;807
1195;95282;2013;0.82783205;0.65255279;0.6475465;0.70931044;Gouzangrez;176
1293;95660;2013;0.57643254;0.45282111;0.63224508;0.55383291;Villaines-sous-Bois;703
1478;77165;2006;;0.32816646;0.55108948;;Les Écrennes;621
1571;77261;2006;0.4306352;0.29416432;0.40748593;0.37742848;Lorrez-le-Bocage-Préaux;1251
1752;77449;2006;0.67276851;0.71611187;0.50767609;0.63218549;Serris;6061
1847;78036;2006;;0.64785445;0.65478073;;Autouillet;453
2133;91129;2006;0.45405726;0.42271469;0.58418735;0.48698643;Cerny;3217
2143;91159;2006;0.55935465;0.49028592;0.58191104;0.54385054;Chevannes;1623
2351;93055;2006;0.5142702;0.34124957;0.21367896;0.35639957;Pantin;53577
2584;95628;2006;0.57963273;0.47332551;0.61107956;0.55467927;Valmondois;1234
2702;77087;1999;;0.26420627;0.4805308;;La Chapelle-Iger;152
2832;77223;1999;0.5490801;0.23659137;0.43687922;0.40751689;Gurcy-le-Châtel;383
2896;77287;1999;0.49225028;0.0;0.28676841;0.2596729;Meilleray;398
3028;77426;1999;0.10571668;0.31432913;0.53028225;0.31677602;Saint-Méry;366
3036;77434;1999;;0.11842996;0.46271909;;Saint-Sauveur-lès-Bray;289
3109;77512;1999;0.30116873;0.0578793;0.38555379;0.24820061;Villeneuve-sur-Bellot;1068
3111;77514;1999;0.45143577;0.18617026;0.45272611;0.36344405;Villeparisis;21294
3178;78126;1999;0.65164874;0.6230357;0.67971744;0.65146729;La Celle-Saint-Cloud;21528
3250;78317;1999;0.48627116;0.36444388;0.61853922;0.48975142;Jambville;621
3252;78321;1999;0.43656708;0.44690796;0.67274795;0.518741;Jouars-Pontchartrain;4565
3266;78354;1999;0.34142122;0.16188998;0.53206279;0.34512466;Magnanville;5620
3315;78472;1999;;0.21575199;0.55338267;;Orsonville;240
3474;91273;1999;0.39559542;0.22319974;0.48102868;0.36660795;Gironville-sur-Essonne;641
45;77026;2013;0.93396979;0.37918182;0.47630726;0.59648629;Beauchery-Saint-Martin;411
3592;92007;1999;0.5006566;0.28204439;0.38161846;0.38810649;Bagneux;37215
